gender,job_title,job_industry_category,wealth_segment,tenure,postcode,state,property_valuation,Age_category,past_3_years_bike_related_purchases_categories,cluster,customer_id
Female,Chemical Engineer,Manufacturing,Affluent Customer,17,4503,QLD,5,35-44,Below 10,Cat_3,1272
Female,Pharmacist,Health,High Net Worth,10,2138,NSW,9,45-54,21-30,Cat_1,2171
Male,Safety Technician II,Financial Services,Mass Customer,6,3121,VIC,8,55-64,41-50,Cat_2,3356
Female,Food Chemist,Health,High Net Worth,9,4556,QLD,8,45-54,71-80,Cat_1,1040
Male,Product Engineer,Manufacturing,Affluent Customer,9,4220,QLD,8,45-54,21-30,Cat_2,2916
Male,Assistant Media Planner,Entertainment,Mass Customer,2,2065,NSW,11,25-34,71-80,Cat_1,427
Female,Structural Analysis Engineer,Property,High Net Worth,10,2219,NSW,10,25-34,Below 10,Cat_1,2448
Male,Professor,Financial Services,Mass Customer,18,4812,QLD,3,45-54,Nov-20,Cat_2,2570
Female,Help Desk Operator,Property,Mass Customer,10,3564,VIC,2,35-44,21-30,Cat_2,488
Male,Administrative Officer,Argiculture,Mass Customer,12,2032,NSW,10,35-44,61-70,Cat_3,165
Female,Marketing Assistant,Retail,Affluent Customer,6,3018,VIC,9,35-44,Above 90,Cat_2,2787
Female,Account Coordinator,Retail,High Net Worth,17,2428,NSW,5,35-44,61-70,Cat_1,3053
Male,Nuclear Power Engineer,Manufacturing,Affluent Customer,1,3012,VIC,10,25-34,Below 10,Cat_2,475
Male,Desktop Support Technician,Property,Mass Customer,2,4519,QLD,6,25-34,61-70,Cat_1,1251
Female,Safety Technician II,Retail,Mass Customer,20,4014,QLD,7,Above 64,Below 10,Cat_2,3103
Male,Accounting Assistant III,Entertainment,Mass Customer,10,4670,QLD,2,55-64,Above 90,Cat_2,3108
Female,General Manager,Financial Services,High Net Worth,4,4122,QLD,4,55-64,Nov-20,Cat_2,857
Male,Administrative Officer,Financial Services,Mass Customer,11,4670,QLD,4,Above 64,21-30,Cat_2,3455
Male,Pharmacist,Health,Mass Customer,4,2323,NSW,9,18-24,Nov-20,Cat_1,2549
Female,Business Systems Development Analyst,IT,Mass Customer,10,2096,NSW,9,35-44,31-40,Cat_3,3406
Male,Associate Professor,Manufacturing,Mass Customer,21,4017,QLD,5,35-44,21-30,Cat_2,2294
Female,Account Coordinator,Argiculture,High Net Worth,17,2871,NSW,3,45-54,71-80,Cat_3,993
Female,Internal Auditor,Entertainment,High Net Worth,5,4152,QLD,8,35-44,51-60,Cat_2,1839
Female,Safety Technician III,Manufacturing,Affluent Customer,5,3048,VIC,6,55-64,Nov-20,Cat_2,1824
Female,Cost Accountant,Financial Services,High Net Worth,6,4127,QLD,6,35-44,31-40,Cat_3,368
Male,Computer Systems Analyst IV,Manufacturing,Affluent Customer,16,2066,NSW,12,45-54,Nov-20,Cat_1,825
Female,Account Executive,Property,Mass Customer,5,3862,VIC,7,25-34,71-80,Cat_2,3315
Female,VP Product Management,Property,Mass Customer,19,2756,NSW,8,35-44,21-30,Cat_3,75
Female,Nurse,Financial Services,Affluent Customer,13,2250,NSW,9,25-34,81-90,Cat_1,1498
Male,Staff Accountant II,Financial Services,Mass Customer,14,4815,QLD,1,55-64,Above 90,Cat_1,2192
Female,VP Marketing,Manufacturing,Affluent Customer,17,4223,QLD,8,35-44,31-40,Cat_2,419
Female,Analyst Programmer,Health,High Net Worth,14,4740,QLD,2,35-44,Above 90,Cat_1,3307
Male,Quality Engineer,Financial Services,Mass Customer,5,2040,NSW,10,45-54,31-40,Cat_1,2430
Male,Account Coordinator,Property,Mass Customer,17,2223,NSW,8,Above 64,21-30,Cat_3,1506
Male,Administrative Assistant IV,Telecommunications,Mass Customer,19,3620,VIC,4,45-54,Below 10,Cat_3,1346
Female,Computer Systems Analyst IV,Manufacturing,Affluent Customer,12,2143,NSW,5,35-44,Above 90,Cat_1,763
Male,Analyst Programmer,Retail,Affluent Customer,4,2142,NSW,7,35-44,31-40,Cat_3,2397
Male,Quality Control Specialist,Manufacturing,Affluent Customer,16,2168,NSW,9,Above 64,51-60,Cat_2,102
Female,Assistant Professor,Manufacturing,Mass Customer,15,2777,NSW,9,55-64,Above 90,Cat_3,2884
Male,Clinical Specialist,Health,High Net Worth,13,2227,NSW,10,55-64,81-90,Cat_3,759
Male,Cost Accountant,Financial Services,Affluent Customer,20,4305,QLD,3,35-44,71-80,Cat_2,773
Male,Product Engineer,Manufacturing,Mass Customer,13,3213,VIC,6,45-54,31-40,Cat_2,3297
Male,Environmental Specialist,Manufacturing,Affluent Customer,18,4207,QLD,4,Above 64,31-40,Cat_3,2434
Female,Geological Engineer,Manufacturing,Mass Customer,8,2770,NSW,7,55-64,21-30,Cat_1,1861
Female,Sales Representative,Retail,Affluent Customer,16,2085,NSW,11,35-44,Nov-20,Cat_3,1233
Female,Accounting Assistant I,Retail,High Net Worth,1,3082,VIC,7,18-24,71-80,Cat_3,1390
Female,Accountant III,Manufacturing,High Net Worth,20,4740,QLD,5,35-44,51-60,Cat_2,2682
Female,GIS Technical Architect,Financial Services,Affluent Customer,10,3806,VIC,8,45-54,21-30,Cat_2,439
Female,Desktop Support Technician,Financial Services,Affluent Customer,17,2101,NSW,10,45-54,31-40,Cat_3,1579
Female,Payment Adjustment Coordinator,Manufacturing,Mass Customer,13,2106,NSW,11,55-64,41-50,Cat_1,2984
Female,Recruiting Manager,Health,Affluent Customer,6,3121,VIC,11,55-64,51-60,Cat_2,3470
Female,Executive Secretary,Health,Mass Customer,11,2016,NSW,10,Above 64,Above 90,Cat_3,1
Male,Environmental Tech,Financial Services,Mass Customer,18,4019,QLD,8,45-54,Above 90,Cat_2,757
Female,VP Marketing,Manufacturing,Mass Customer,5,2159,NSW,10,45-54,Below 10,Cat_3,211
Female,Legal Assistant,Manufacturing,Affluent Customer,4,2756,NSW,9,25-34,Nov-20,Cat_2,32
Male,Associate Professor,Manufacturing,High Net Worth,9,3070,VIC,7,35-44,Below 10,Cat_1,119
Female,Programmer Analyst I,Financial Services,High Net Worth,11,2049,NSW,12,Above 64,71-80,Cat_3,2347
Male,Health Coach IV,Health,Affluent Customer,12,2262,NSW,6,35-44,Above 90,Cat_3,2353
Male,Social Worker,Health,Mass Customer,11,2141,NSW,9,55-64,61-70,Cat_1,788
Female,Financial Advisor,Financial Services,Mass Customer,22,2519,NSW,9,45-54,31-40,Cat_1,1468
Male,Financial Analyst,Financial Services,Mass Customer,7,2530,NSW,8,35-44,41-50,Cat_1,821
Female,Speech Pathologist,Retail,Mass Customer,15,2102,NSW,9,45-54,41-50,Cat_3,2489
Male,Sales Representative,Retail,Mass Customer,2,4660,QLD,3,25-34,71-80,Cat_1,2710
Female,Pharmacist,Health,Mass Customer,10,3021,VIC,7,35-44,41-50,Cat_1,947
Female,Assistant Media Planner,Entertainment,Mass Customer,3,3977,VIC,5,25-34,51-60,Cat_2,1335
Male,Pharmacist,Health,Affluent Customer,2,2515,NSW,9,18-24,31-40,Cat_3,1076
Female,Nuclear Power Engineer,Manufacturing,High Net Worth,6,3109,VIC,10,25-34,Nov-20,Cat_3,3320
Female,Staff Accountant III,Health,High Net Worth,7,2093,NSW,9,25-34,Below 10,Cat_1,779
Female,Quality Engineer,Financial Services,Affluent Customer,17,2154,NSW,11,45-54,71-80,Cat_3,3296
Male,Information Systems Manager,Argiculture,Affluent Customer,5,3141,VIC,7,25-34,51-60,Cat_2,1779
Female,Chemical Engineer,Manufacturing,Affluent Customer,18,2779,NSW,7,35-44,31-40,Cat_2,2703
Male,Sales Representative,Retail,Mass Customer,7,2767,NSW,9,25-34,61-70,Cat_1,806
Male,Operator,Manufacturing,Mass Customer,14,2073,NSW,12,45-54,Below 10,Cat_3,1591
Male,Account Executive,Manufacturing,Mass Customer,16,2047,NSW,10,35-44,31-40,Cat_2,50
Male,Computer Systems Analyst I,Health,High Net Worth,13,2567,NSW,8,45-54,51-60,Cat_1,1453
Female,Editor,IT,High Net Worth,14,3805,VIC,8,35-44,81-90,Cat_2,1339
Male,Business Systems Development Analyst,Financial Services,High Net Worth,10,3129,VIC,10,45-54,81-90,Cat_3,3382
Male,Budget/Accounting Analyst I,Health,Affluent Customer,10,2760,NSW,7,55-64,71-80,Cat_1,2503
Male,Legal Assistant,Manufacturing,Mass Customer,14,3061,VIC,5,35-44,21-30,Cat_2,1397
Male,Nurse,Manufacturing,Affluent Customer,2,3175,VIC,3,18-24,Nov-20,Cat_1,2134
Female,Technical Writer,Financial Services,Affluent Customer,12,2190,NSW,10,45-54,41-50,Cat_1,2403
Male,Quality Engineer,Health,Mass Customer,19,2619,NSW,3,45-54,61-70,Cat_1,1937
Male,Programmer Analyst III,Entertainment,Affluent Customer,14,4340,QLD,5,35-44,Above 90,Cat_2,1282
Female,Programmer Analyst IV,Manufacturing,Mass Customer,7,4132,QLD,4,45-54,61-70,Cat_3,2183
Female,Account Representative IV,Financial Services,High Net Worth,10,2380,NSW,5,55-64,71-80,Cat_3,1788
Female,Assistant Professor,IT,Mass Customer,4,4064,QLD,9,55-64,61-70,Cat_2,1170
Female,Teacher,Manufacturing,High Net Worth,8,4226,QLD,6,45-54,51-60,Cat_1,1940
Female,Chemical Engineer,Manufacturing,High Net Worth,10,3175,VIC,8,45-54,81-90,Cat_2,2073
Female,Chemical Engineer,Manufacturing,Affluent Customer,5,2259,NSW,6,55-64,31-40,Cat_1,462
Female,Physical Therapy Assistant,IT,High Net Worth,19,3188,VIC,11,55-64,51-60,Cat_2,2728
Male,Cost Accountant,Financial Services,Affluent Customer,11,4551,QLD,7,35-44,Below 10,Cat_2,2053
Female,Structural Engineer,Manufacturing,High Net Worth,16,2580,NSW,4,45-54,61-70,Cat_2,1217
Female,Clinical Specialist,Health,Mass Customer,10,3429,VIC,5,45-54,21-30,Cat_2,2992
Male,Account Coordinator,Property,Mass Customer,5,2745,NSW,8,45-54,Below 10,Cat_1,3261
Female,Quality Engineer,Financial Services,Mass Customer,4,2260,NSW,11,55-64,Above 90,Cat_1,2748
Female,Chief Design Engineer,Manufacturing,Mass Customer,9,3806,VIC,6,25-34,Below 10,Cat_2,3067
Male,Food Chemist,Health,Mass Customer,8,4562,QLD,5,Above 64,Nov-20,Cat_2,701
Male,Accountant II,Financial Services,Mass Customer,9,4551,QLD,7,35-44,81-90,Cat_2,648
Male,Assistant Media Planner,Entertainment,Mass Customer,20,3977,VIC,7,55-64,21-30,Cat_3,3286
Male,Financial Analyst,Financial Services,Affluent Customer,10,3786,VIC,8,35-44,41-50,Cat_2,3383
Male,Geologist III,Health,High Net Worth,6,2250,NSW,6,55-64,Nov-20,Cat_1,982
Male,Senior Editor,Manufacturing,High Net Worth,14,2194,NSW,8,45-54,51-60,Cat_1,676
Male,Project Manager,Health,High Net Worth,9,2170,NSW,9,55-64,61-70,Cat_3,385
Male,GIS Technical Architect,Manufacturing,Affluent Customer,1,2119,NSW,11,18-24,31-40,Cat_3,1229
Female,Payment Adjustment Coordinator,Financial Services,Mass Customer,9,3070,VIC,10,25-34,Below 10,Cat_3,3232
Female,Programmer I,Argiculture,Affluent Customer,5,2015,NSW,9,45-54,Above 90,Cat_1,2381
Male,Systems Administrator III,Financial Services,Mass Customer,7,3215,VIC,4,Above 64,Below 10,Cat_2,371
Male,Senior Developer,Manufacturing,Mass Customer,5,4825,QLD,2,35-44,71-80,Cat_1,2519
Female,Occupational Therapist,Health,Affluent Customer,9,3977,VIC,6,45-54,Nov-20,Cat_2,2264
Female,Help Desk Operator,Retail,Mass Customer,11,2100,NSW,10,45-54,21-30,Cat_3,2637
Female,Business Systems Development Analyst,Financial Services,Affluent Customer,14,4171,QLD,10,55-64,71-80,Cat_1,2267
Male,Automation Specialist I,Manufacturing,Affluent Customer,17,2145,NSW,7,45-54,41-50,Cat_1,456
Male,Data Coordiator,Manufacturing,Mass Customer,19,2304,NSW,7,55-64,81-90,Cat_1,3121
Female,Structural Analysis Engineer,Argiculture,Mass Customer,3,4127,QLD,6,18-24,Below 10,Cat_1,2365
Male,Senior Editor,Financial Services,Affluent Customer,15,4161,QLD,7,35-44,81-90,Cat_2,2528
Male,Budget/Accounting Analyst IV,Manufacturing,Mass Customer,16,4011,QLD,7,35-44,31-40,Cat_2,3241
Male,Electrical Engineer,Manufacturing,Mass Customer,18,2069,NSW,12,35-44,41-50,Cat_1,2234
Female,Assistant Media Planner,Entertainment,Affluent Customer,11,3977,VIC,7,45-54,41-50,Cat_1,3226
Male,Research Associate,Health,Mass Customer,3,3222,VIC,5,25-34,Above 90,Cat_1,1365
Male,Director of Sales,Argiculture,Affluent Customer,9,3196,VIC,9,35-44,Nov-20,Cat_1,3349
Male,Business Systems Development Analyst,Financial Services,Mass Customer,18,3127,VIC,12,35-44,61-70,Cat_1,1002
Male,Senior Financial Analyst,Financial Services,Affluent Customer,7,3630,VIC,4,Above 64,81-90,Cat_2,2282
Female,Statistician III,Manufacturing,Mass Customer,10,3070,VIC,10,55-64,71-80,Cat_2,2656
Female,Social Worker,Health,Mass Customer,12,2560,NSW,8,25-34,21-30,Cat_2,2409
Female,Chemical Engineer,Manufacturing,High Net Worth,7,4133,QLD,5,25-34,81-90,Cat_2,1711
Male,Director of Sales,Health,Mass Customer,7,4216,QLD,7,45-54,Above 90,Cat_2,2582
Female,Design Engineer,IT,High Net Worth,8,2165,NSW,9,55-64,Above 90,Cat_1,1005
Male,Nurse Practicioner,Retail,Affluent Customer,14,2224,NSW,10,45-54,Above 90,Cat_3,1597
Male,Software Engineer II,Telecommunications,Affluent Customer,19,2756,NSW,8,45-54,Above 90,Cat_2,1435
Male,Graphic Designer,Retail,Mass Customer,5,4701,QLD,1,55-64,51-60,Cat_2,1254
Female,Project Manager,Manufacturing,Mass Customer,19,2762,NSW,9,55-64,51-60,Cat_1,1423
Female,Cost Accountant,Financial Services,Mass Customer,22,3125,VIC,8,25-34,41-50,Cat_2,276
Female,Business Systems Development Analyst,IT,Mass Customer,12,3931,VIC,10,45-54,41-50,Cat_2,1315
Female,Software Engineer II,Manufacturing,Affluent Customer,2,4160,QLD,10,25-34,31-40,Cat_2,2123
Male,Assistant Professor,Manufacturing,Mass Customer,8,3064,VIC,5,35-44,51-60,Cat_2,2889
Female,VP Marketing,Financial Services,High Net Worth,15,3620,VIC,2,55-64,51-60,Cat_2,3208
Male,Executive Secretary,Retail,Affluent Customer,9,4879,QLD,6,45-54,31-40,Cat_1,2406
Male,VP Accounting,Financial Services,Mass Customer,17,2009,NSW,9,Above 64,51-60,Cat_1,2041
Female,Safety Technician III,Retail,Mass Customer,11,2032,NSW,11,45-54,81-90,Cat_1,1598
Female,Editor,Argiculture,Affluent Customer,8,4370,QLD,6,25-34,21-30,Cat_2,1321
Female,Geologist III,Retail,Affluent Customer,3,2074,NSW,10,25-34,Below 10,Cat_1,183
Male,Sales Representative,Retail,High Net Worth,13,2021,NSW,12,45-54,41-50,Cat_1,2591
Female,Sales Representative,Retail,Mass Customer,14,2164,NSW,8,45-54,Nov-20,Cat_1,766
Female,VP Quality Control,Financial Services,Affluent Customer,15,2211,NSW,9,55-64,61-70,Cat_1,520
Female,VP Accounting,Financial Services,Mass Customer,11,2768,NSW,10,35-44,81-90,Cat_1,868
Male,Sales Representative,Retail,Mass Customer,4,4350,QLD,6,35-44,Nov-20,Cat_2,352
Female,Executive Secretary,Retail,Mass Customer,13,2206,NSW,10,35-44,31-40,Cat_3,1140
Male,Systems Administrator III,Manufacturing,High Net Worth,14,2763,NSW,7,55-64,71-80,Cat_3,621
Female,Design Engineer,Financial Services,Affluent Customer,11,2450,NSW,4,25-34,51-60,Cat_3,1502
Male,Speech Pathologist,Health,High Net Worth,3,3400,VIC,2,25-34,61-70,Cat_3,936
Male,Product Engineer,Manufacturing,Mass Customer,6,2233,NSW,9,55-64,51-60,Cat_1,939
Female,Administrative Officer,Health,High Net Worth,20,2166,NSW,8,45-54,Nov-20,Cat_2,2698
Female,Software Engineer II,Health,Mass Customer,12,2097,NSW,10,45-54,81-90,Cat_3,579
Male,Information Systems Manager,Manufacturing,Affluent Customer,2,2099,NSW,10,18-24,Nov-20,Cat_1,3077
Male,Actuary,Financial Services,Mass Customer,9,3130,VIC,10,25-34,Nov-20,Cat_3,369
Male,Chemical Engineer,Manufacturing,High Net Worth,20,2208,NSW,10,55-64,61-70,Cat_2,2687
Female,VP Product Management,Manufacturing,Mass Customer,17,2147,NSW,9,35-44,51-60,Cat_1,681
Female,Social Worker,Health,High Net Worth,16,4726,QLD,1,35-44,41-50,Cat_2,37
Female,Systems Administrator III,Telecommunications,High Net Worth,16,2076,NSW,11,55-64,Above 90,Cat_1,396
Female,Sales Representative,Retail,Mass Customer,15,3168,VIC,6,45-54,Nov-20,Cat_2,550
Male,Database Administrator IV,Retail,High Net Worth,12,3023,VIC,8,55-64,41-50,Cat_1,2325
Female,Dental Hygienist,Health,Mass Customer,11,2767,NSW,8,55-64,Nov-20,Cat_1,1420
Male,Research Associate,Manufacturing,Affluent Customer,5,2154,NSW,11,25-34,31-40,Cat_2,1645
Female,Information Systems Manager,Health,Mass Customer,12,2340,NSW,2,35-44,71-80,Cat_1,546
Female,Compensation Analyst,Financial Services,Mass Customer,4,2761,NSW,8,45-54,61-70,Cat_3,2885
Female,Administrative Officer,Financial Services,Affluent Customer,12,2226,NSW,7,55-64,61-70,Cat_3,2740
Male,Social Worker,Health,Mass Customer,20,2017,NSW,8,Above 64,Above 90,Cat_2,3166
Male,Speech Pathologist,Manufacturing,Affluent Customer,20,2018,NSW,11,55-64,61-70,Cat_1,2890
Male,Data Coordiator,Manufacturing,High Net Worth,5,2076,NSW,12,Above 64,Below 10,Cat_1,3370
Female,Technical Writer,Retail,Mass Customer,7,2093,NSW,12,Above 64,21-30,Cat_1,3393
Female,Geological Engineer,Manufacturing,Mass Customer,21,3181,VIC,11,45-54,71-80,Cat_2,2410
Male,Physical Therapy Assistant,Argiculture,Mass Customer,3,2567,NSW,9,35-44,Below 10,Cat_1,1454
Male,Web Developer III,Manufacturing,Affluent Customer,2,4504,QLD,7,18-24,21-30,Cat_1,3089
Female,Dental Hygienist,Health,High Net Worth,20,2195,NSW,6,45-54,71-80,Cat_1,3123
Female,Social Worker,Health,Mass Customer,10,3212,VIC,3,55-64,Nov-20,Cat_2,2801
Male,Associate Professor,Retail,High Net Worth,5,4227,QLD,3,35-44,21-30,Cat_3,1580
Female,Sales Representative,Retail,Affluent Customer,1,2118,NSW,11,25-34,41-50,Cat_1,1777
Male,Quality Engineer,Health,Affluent Customer,17,3058,VIC,9,55-64,51-60,Cat_3,142
Male,Geological Engineer,Manufacturing,Mass Customer,6,4720,QLD,1,35-44,81-90,Cat_3,1258
Female,Project Manager,Financial Services,Mass Customer,3,4014,QLD,6,25-34,81-90,Cat_3,3405
Male,Media Manager III,Manufacturing,Mass Customer,1,3796,VIC,8,25-34,61-70,Cat_1,3198
Male,Environmental Tech,Financial Services,Mass Customer,3,3199,VIC,7,45-54,31-40,Cat_1,834
Male,VP Quality Control,IT,Mass Customer,21,4350,QLD,6,35-44,31-40,Cat_2,3467
Female,Cost Accountant,Financial Services,Mass Customer,5,2153,NSW,10,55-64,Below 10,Cat_3,3436
Male,VP Sales,IT,Affluent Customer,19,2210,NSW,10,55-64,Below 10,Cat_1,1516
Male,Business Systems Development Analyst,IT,Mass Customer,3,2650,NSW,4,18-24,51-60,Cat_1,2833
Female,Professor,Financial Services,High Net Worth,6,2210,NSW,10,35-44,21-30,Cat_3,2149
Female,General Manager,Financial Services,High Net Worth,3,2880,NSW,1,25-34,41-50,Cat_1,2133
Female,Staff Scientist,Property,Mass Customer,19,2530,NSW,7,Above 64,61-70,Cat_1,360
Male,Database Administrator IV,Manufacturing,Mass Customer,6,2763,NSW,9,45-54,Nov-20,Cat_1,2969
Female,Staff Accountant II,Financial Services,Mass Customer,13,3040,VIC,11,35-44,Above 90,Cat_2,1720
Female,Software Test Engineer III,Manufacturing,High Net Worth,11,2211,NSW,9,45-54,21-30,Cat_2,2904
Male,Chemical Engineer,Manufacturing,High Net Worth,7,2119,NSW,11,55-64,31-40,Cat_2,1826
Male,Operator,IT,Affluent Customer,14,3806,VIC,7,45-54,Above 90,Cat_1,2487
Male,Social Worker,Health,Mass Customer,19,3029,VIC,5,Above 64,41-50,Cat_3,2815
Female,Chemical Engineer,Manufacturing,Affluent Customer,13,3130,VIC,10,55-64,21-30,Cat_2,541
Female,VP Sales,IT,Mass Customer,2,4306,QLD,3,18-24,61-70,Cat_2,2024
Female,Web Developer IV,Argiculture,Affluent Customer,21,2759,NSW,9,45-54,Below 10,Cat_3,768
Male,Operator,Retail,Affluent Customer,10,2160,NSW,9,25-34,Nov-20,Cat_1,529
Male,Speech Pathologist,Manufacturing,High Net Worth,14,3977,VIC,5,Above 64,41-50,Cat_1,3380
Female,Marketing Assistant,Retail,High Net Worth,5,3064,VIC,3,55-64,21-30,Cat_2,314
Male,Nurse Practicioner,Manufacturing,Mass Customer,18,2064,NSW,9,45-54,61-70,Cat_1,1079
Female,Sales Representative,Retail,Mass Customer,19,2047,NSW,10,55-64,Nov-20,Cat_3,1643
Female,Administrative Officer,Financial Services,Mass Customer,16,2760,NSW,8,45-54,Below 10,Cat_3,1524
Male,Account Executive,Manufacturing,Mass Customer,20,2153,NSW,10,55-64,31-40,Cat_1,3205
Female,Physical Therapy Assistant,Financial Services,Mass Customer,1,2564,NSW,7,25-34,Nov-20,Cat_3,2860
Female,Community Outreach Specialist,Entertainment,Mass Customer,4,2567,NSW,7,18-24,Nov-20,Cat_1,772
Female,Senior Developer,Health,Mass Customer,7,4210,QLD,9,45-54,51-60,Cat_2,323
Male,Executive Secretary,Manufacturing,Affluent Customer,14,2211,NSW,10,45-54,61-70,Cat_1,2819
Male,Structural Engineer,Manufacturing,High Net Worth,4,2830,NSW,7,45-54,Below 10,Cat_1,792
Male,Senior Financial Analyst,Financial Services,High Net Worth,19,4131,QLD,4,45-54,41-50,Cat_2,923
Female,Software Test Engineer II,Property,Mass Customer,1,2205,NSW,8,25-34,Above 90,Cat_3,3353
Male,Environmental Specialist,Health,Mass Customer,22,2019,NSW,10,45-54,31-40,Cat_1,3394
Female,Tax Accountant,Telecommunications,Affluent Customer,16,3079,VIC,11,45-54,21-30,Cat_2,3213
Male,Web Developer I,Health,Mass Customer,17,3024,VIC,8,Above 64,Below 10,Cat_2,1015
Male,Sales Representative,Retail,High Net Worth,1,2484,NSW,6,18-24,71-80,Cat_3,2266
Female,Office Assistant III,Financial Services,Affluent Customer,17,2166,NSW,9,55-64,21-30,Cat_3,58
Male,Occupational Therapist,Health,High Net Worth,9,4152,QLD,8,25-34,51-60,Cat_3,3118
Female,Physical Therapy Assistant,Financial Services,Affluent Customer,8,2099,NSW,11,45-54,41-50,Cat_3,2202
Female,Office Assistant IV,Property,Mass Customer,9,2650,NSW,4,35-44,Nov-20,Cat_3,2144
Male,Editor,Financial Services,Mass Customer,8,2038,NSW,12,45-54,71-80,Cat_3,87
Male,Assistant Professor,Manufacturing,High Net Worth,5,2217,NSW,8,55-64,21-30,Cat_1,2049
Female,VP Sales,Financial Services,Affluent Customer,6,3752,VIC,7,45-54,31-40,Cat_2,952
Female,Chief Design Engineer,Financial Services,Mass Customer,6,4300,QLD,4,Above 64,31-40,Cat_3,1745
Female,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,14,2207,NSW,8,35-44,Above 90,Cat_1,40
Female,Graphic Designer,Property,Affluent Customer,4,3101,VIC,8,35-44,Nov-20,Cat_2,372
Male,Librarian,Entertainment,Affluent Customer,16,3150,VIC,9,55-64,41-50,Cat_2,1627
Female,Staff Scientist,Manufacturing,Mass Customer,8,2160,NSW,6,55-64,31-40,Cat_3,444
Female,Chemical Engineer,Manufacturing,High Net Worth,16,2070,NSW,11,35-44,61-70,Cat_2,217
Male,Chief Design Engineer,Financial Services,Mass Customer,7,4560,QLD,8,45-54,51-60,Cat_2,1656
Female,Statistician III,Manufacturing,High Net Worth,20,2428,NSW,3,45-54,21-30,Cat_1,485
Female,Health Coach II,Retail,Mass Customer,21,3911,VIC,10,35-44,41-50,Cat_3,506
Male,Quality Control Specialist,Manufacturing,Affluent Customer,12,2050,NSW,8,Above 64,61-70,Cat_2,1881
Male,Mechanical Systems Engineer,Manufacturing,Mass Customer,20,4512,QLD,7,45-54,Nov-20,Cat_3,1274
Female,Cost Accountant,Financial Services,Affluent Customer,22,2747,NSW,7,35-44,41-50,Cat_3,1443
Female,Engineer II,Argiculture,High Net Worth,22,2287,NSW,5,35-44,51-60,Cat_3,1493
Male,Computer Systems Analyst IV,Manufacturing,Mass Customer,14,4217,QLD,8,25-34,61-70,Cat_1,476
Female,Administrative Officer,Manufacturing,Mass Customer,9,4570,QLD,2,35-44,Below 10,Cat_2,940
